fecha,maxima,minima
1995-06-01,22,1.5
1962-06-02,17,0
1975-06-03,18.8,0.8
1953-06-04,17.2,2.2
1984-06-05,15,0.4
1999-06-06,18.8,0.5
1986-06-07,20.4,2
1956-06-08,17.8,0.6
1987-06-09,17,1
2000-06-10,19,-0.5
1971-06-11,13.6,1.4
1998-06-12,19.7,0.5
2019-06-13,23.8,3.5
1977-06-14,18.2,3
1987-06-15,17,3
1987-06-16,18,1.6
1978-06-17,13.6,2
1978-06-18,13.8,2.6
1991-06-19,24.4,4.2
1992-06-20,17.2,5.6
1986-06-21,21,3.6
1973-06-22,20,4.4
1951-06-23,19,4.8
1969-06-24,19.4,3.4
1978-06-25,17.6,4
1980-06-26,21.2,4
1978-06-27,20.4,4.6
1954-06-28,18.6,5
1997-06-29,16.5,5.1
1997-06-30,20.2,3
