fecha,maxima,minima
1965-06-01,26,7.5
1962-06-02,19.7,8.6
1975-06-03,21.4,7.4
1953-06-04,22.4,8
1962-06-05,24.6,7.6
1984-06-06,18.4,7.4
1953-06-07,17.8,8.2
1969-06-08,26.4,6.6
1962-06-09,24.4,8.2
1965-06-10,24.2,8.6
1971-06-11,20.6,5.2
1972-06-12,21.6,7.4
1972-06-13,18.9,9.4
1977-06-14,22.4,7.3
1954-06-15,26.7,9.4
1978-06-16,22.2,9
1978-06-17,21.6,6.6
1970-06-18,24.8,1.6
1978-06-19,24.2,8.8
1983-06-20,24.2,7.8
1992-06-21,24.2,10.2
1978-06-22,29.8,12
1969-06-23,18.8,11.2
1969-06-24,19.8,8.7
1969-06-25,24.8,9.4
1978-06-26,19.6,11
1978-06-27,21.6,9.3
1978-06-28,23.2,10
1981-06-29,20,10
1978-06-30,18.2,9.5
