fecha,maxima,minima
2005-03-01,4.2,-11
2004-03-02,7,-11.2
1988-03-03,9,-4.6
2005-03-04,3.4,-5.6
1971-03-05,8,-7.4
1971-03-06,5,-8.6
1965-03-07,6.8,-6.1
1965-03-08,6.8,-8.3
1955-03-09,-1,-8.2
1955-03-10,1,-10
1955-03-11,4,-10.8
1955-03-12,5.2,-5.8
1970-03-13,9,-5
1984-03-14,2.8,-5.6
1984-03-15,4.2,-7.6
1973-03-16,9.5,-4.8
1973-03-17,8.4,-4.5
1973-03-18,12.5,-4
1989-03-19,14.6,-6.4
1987-03-20,8.4,-5
1966-03-21,12.5,-4.6
2007-03-22,8,-6.4
2017-03-23,4.6,-4.4
1962-03-24,8.2,-4.4
2004-03-25,8.6,-4.8
1962-03-26,11.5,-5
2004-03-27,6.6,-4.4
2004-03-28,6,-5.8
1970-03-29,13.3,-3.5
1969-03-30,12.4,-3.5
2009-03-31,9,-4.8
