fecha,maxima,minima
1993-03-01,9,4
1993-03-02,11.8,3.4
2004-03-03,13,4
2004-03-04,20.8,4.2
2005-03-05,12.6,7.4
1985-03-06,15.2,6.6
2008-03-07,19.4,6.2
2005-03-08,13.8,6
2010-03-09,15.8,7.4
1975-03-10,15.6,7
1976-03-11,16.4,5
1976-03-12,18.2,7.2
1974-03-13,17,7.6
1992-03-14,21.8,7.6
1998-03-15,18,7
2014-03-16,19.6,6.8
1979-03-17,19,7.6
1996-03-18,17.4,7.6
1972-03-19,18.2,8.8
1978-03-20,19.2,7.4
2007-03-21,15.8,9
2007-03-22,14.2,7.2
2007-03-23,17.6,7
2017-03-24,15.6,7.5
2017-03-25,19.6,7.4
1992-03-26,15.6,5
1986-03-27,16.8,7
1971-03-28,15.8,7.6
1989-03-29,17.2,8
1977-03-30,12.4,6.2
1987-03-31,19,8.2
