fecha,maxima,minima
1974-03-01,16.5,0
1993-03-02,13,-0.8
1979-03-03,15.4,-2.6
1958-03-04,13.5,0
1950-03-05,17.3,1.2
1974-03-06,14,-1.6
1966-03-07,15.2,0.6
2005-03-08,13,-0.6
1965-03-09,13,-1.5
1958-03-10,15.5,0.5
1955-03-11,10.2,-3
1958-03-12,15.7,0
1958-03-13,17.5,-0.5
1985-03-14,15.8,0.2
1973-03-15,13.5,-0.5
1966-03-16,15,0
1970-03-17,14.5,0
1970-03-18,22.5,1.5
1973-03-19,16.5,1.5
1972-03-20,16.5,3
1975-03-21,17.2,2.4
1979-03-22,17.6,1.6
2009-03-23,18.8,3.3
1977-03-24,17.4,2.6
1956-03-25,17.5,2.5
1976-03-26,17.5,2
1976-03-27,17.2,2
1990-03-28,16.4,1.6
1971-03-29,17,1.4
1969-03-30,14,1
1977-03-31,14,-1
