fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1970-03-01,Marzo,1,-4.0,-4.0,1970,1970
2005-03-02,Marzo,2,-4.6,-3.4,2005,2004
1965-03-03,Marzo,3,-0.5,-0.4,1965,1951
1974-03-04,Marzo,4,-1.5,-1.3,1974,2005
1974-03-05,Marzo,5,-1.4,-1.2,1974,2022
1985-03-06,Marzo,6,-2.0,-1.4,1985,1971
1965-03-07,Marzo,7,-3.0,-2.8,1965,1955
1955-03-08,Marzo,8,-2.0,-2.0,1955,1964
1964-03-09,Marzo,9,-5.6,-2.0,1964,1970
1970-03-10,Marzo,10,-2.4,-2.0,1970,1955
1975-03-11,Marzo,11,-1.6,-1.5,1975,1970
1975-03-12,Marzo,12,-1.4,-1.0,1975,1984
1984-03-13,Marzo,13,-2.0,-1.6,1984,2013
1970-03-14,Marzo,14,-2.5,-2.2,1970,1975
1984-03-15,Marzo,15,-2.0,-1.8,1984,2013
1973-03-16,Marzo,16,0.4,0.6,1973,1996
1984-03-17,Marzo,17,-1.0,0.5,1984,1973
1984-03-18,Marzo,18,-2.0,-1.0,1984,1994
1980-03-19,Marzo,19,-1.0,-0.3,1980,2012
1987-03-20,Marzo,20,-2.0,-0.6,1987,1975
1980-03-21,Marzo,21,-2.0,0.4,1980,1971
2018-03-22,Marzo,22,-0.7,0.0,2018,1977
1977-03-23,Marzo,23,-1.4,-0.2,1977,2008
1962-03-24,Marzo,24,0.0,1.0,1962,1963
1963-03-25,Marzo,25,0.0,0.5,1963,1962
1962-03-26,Marzo,26,-1.0,-0.5,1962,1965
2014-03-27,Marzo,27,-0.3,0.0,2014,1969
1969-03-28,Marzo,28,-2.4,0.0,1969,1985
2000-03-29,Marzo,29,-0.5,-0.2,2000,1951
1951-03-30,Marzo,30,-0.2,-0.2,1951,1987
1969-03-31,Marzo,31,-2.0,-0.8,1969,2000
