fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1970-03-01,Marzo,1,1.6,1.6,1970,1970
1951-03-02,Marzo,2,1,1.5,1951,1950
2004-03-03,Marzo,3,1.6,2,2004,1950
1958-03-04,Marzo,4,2,3.4,1958,1953
1953-03-05,Marzo,5,2.4,2.5,1953,2005
1971-03-06,Marzo,6,0.8,2.4,1971,1953
1971-03-07,Marzo,7,1,2.4,1971,1951
1955-03-08,Marzo,8,0.8,1.2,1955,2005
1955-03-09,Marzo,9,0.9,2,1955,1964
1955-03-10,Marzo,10,0.8,2,1955,1971
1955-03-11,Marzo,11,1.3,1.4,1955,1984
1958-03-12,Marzo,12,1.6,1.8,1958,1984
1985-03-13,Marzo,13,3,3.4,1985,2010
1955-03-14,Marzo,14,3.6,3.6,1955,2010
1962-03-15,Marzo,15,2,2.8,1962,1973
1973-03-16,Marzo,16,3.8,4,1973,1959
1966-03-17,Marzo,17,4.2,4.4,1966,1987
1973-03-18,Marzo,18,4,5,1973,1984
2003-03-19,Marzo,19,4,5.2,2003,1973
1975-03-20,Marzo,20,5.4,5.4,1975,2021
1971-03-21,Marzo,21,4.6,5,1971,1966
2018-03-22,Marzo,22,5.3,5.4,2018,2007
1966-03-23,Marzo,23,5.5,6.2,1966,1962
1963-03-24,Marzo,24,4,5.2,1963,1971
1963-03-25,Marzo,25,4.4,5.4,1963,1953
1953-03-26,Marzo,26,4.6,4.6,1953,1963
1951-03-27,Marzo,27,5.2,5.6,1951,2004
2020-03-28,Marzo,28,5.5,5.5,2020,2020
1971-03-29,Marzo,29,4,4.6,1971,1969
1969-03-30,Marzo,30,2.6,3,1969,1977
1977-03-31,Marzo,31,3.4,4.6,1977,1969
