fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2005-03-01,Marzo,1,-9.7,-9.7,2005,2005
2005-03-02,Marzo,2,-9.8,-7.8,2005,1970
1965-03-03,Marzo,3,-5.6,-5.2,1965,2005
1970-03-04,Marzo,4,-8.0,-7.3,1970,2005
2005-03-05,Marzo,5,-8.8,-7.8,2005,1971
1971-03-06,Marzo,6,-8.4,-6.0,1971,1970
2005-03-07,Marzo,7,-8.0,-7.4,2005,1955
1964-03-08,Marzo,8,-8.6,-8.0,1964,2005
2005-03-09,Marzo,9,-7.9,-6.4,2005,1964
2005-03-10,Marzo,10,-7.6,-7.5,2005,2010
1958-03-11,Marzo,11,-8.2,-6.0,1958,1984
1984-03-12,Marzo,12,-6.8,-6.4,1984,1958
2010-03-13,Marzo,13,-5.0,-3.2,2010,1973
1973-03-14,Marzo,14,-5.6,-5.6,1973,1985
1953-03-15,Marzo,15,-6.7,-4.7,1953,2016
1973-03-16,Marzo,16,-6.6,-5.0,1973,2015
1973-03-17,Marzo,17,-5.0,-5.0,1973,1985
1973-03-18,Marzo,18,-5.4,-5.0,1973,1989
1973-03-19,Marzo,19,-5.2,-4.4,1973,1989
1975-03-20,Marzo,20,-12.4,-5.6,1975,1987
2008-03-21,Marzo,21,-5.4,-4.4,2008,2007
2007-03-22,Marzo,22,-6.6,-5.5,2007,2018
1976-03-23,Marzo,23,-3.6,-3.6,1976,2008
1962-03-24,Marzo,24,-3.6,-3.0,1962,1992
2007-03-25,Marzo,25,-5.0,-4.8,2007,1963
1962-03-26,Marzo,26,-5.8,-5.0,1962,1973
1969-03-27,Marzo,27,-4.8,-2.5,1969,2014
1969-03-28,Marzo,28,-4.6,-4.0,1969,2000
1969-03-29,Marzo,29,-4.8,-4.6,1969,1971
1977-03-30,Marzo,30,-7.4,-6.0,1977,1987
1977-03-31,Marzo,31,-7.0,-3.4,1977,1951
