fecha,maxima,minima
1959-05-01,21.5,4
1983-05-02,20,5
1977-05-03,18.4,5
1967-05-04,19.6,4
1975-05-05,21.8,4
1975-05-06,21,4.6
1968-05-07,20,4
1975-05-08,21.6,5
1968-05-09,19.7,5.5
1970-05-10,19.6,4.8
1985-05-11,22.4,6.4
1985-05-12,23.8,6.4
1966-05-13,20,6
1972-05-14,20,5.2
1983-05-15,19.6,6.2
1985-05-16,22.8,7.2
1972-05-17,20.6,6
1972-05-18,21.4,5.4
1984-05-19,18,5.4
1972-05-20,22.8,6
1983-05-21,17.4,7
1983-05-22,21.6,6.4
1984-05-23,19.8,7.4
1979-05-24,22.8,7.2
1971-05-25,19.8,6.4
1958-05-26,20.2,5.8
1958-05-27,22.8,4.7
1958-05-28,25,7.2
1967-05-29,23.7,6.5
1958-05-30,23.8,6.6
1961-05-31,18.8,8.4
