fecha,maxima,minima
2001-05-01,12.7,-3
2002-05-02,12,-1.4
1977-05-03,10.2,-3.8
1954-05-04,11.5,-2
1982-05-05,14.4,-2.4
1982-05-06,11.4,-1.6
1982-05-07,12,-1.8
1982-05-08,13.4,-2.4
1982-05-09,14.4,-2.2
1982-05-10,19.4,-1
1991-05-11,12,-1.5
1976-05-12,17.2,-0.6
2018-05-13,15.8,-2.7
1972-05-14,7.6,0.2
2018-05-15,17.3,0.2
2013-05-16,12.4,0.2
1972-05-17,9,-0.4
1987-05-18,16.2,-1.6
1951-05-19,15.8,-1
1969-05-20,18.6,-0.8
1968-05-21,10.2,-0.6
1968-05-22,16.4,-1
2016-05-23,16.5,0.4
2006-05-24,21,0.2
1975-05-25,12.2,0.2
1971-05-26,10.4,0.4
1984-05-27,13,0
1958-05-28,19.2,-1.7
1961-05-29,13.6,0
1958-05-30,18.4,0.6
1959-05-31,19,0.6
