fecha,maxima,minima
1960-05-01,14.6,5
1974-05-02,14.6,4.4
1977-05-03,13.2,4.4
1987-05-04,10,4.6
2019-05-05,11.6,3.6
1985-05-06,9,2.8
1982-05-07,11.4,4
1974-05-08,13.7,4.5
1951-05-09,9,5.2
1982-05-10,18.4,5
1985-05-11,11.2,5
1984-05-12,11.4,5.2
1972-05-13,10.6,6
1995-05-14,15.6,5.4
1972-05-15,9.6,7
1972-05-16,8.9,5.1
1984-05-17,14.4,4.6
1972-05-18,14.4,5.1
1951-05-19,11.5,6.3
1983-05-20,9.2,6.2
1983-05-21,12.6,6
1968-05-22,16.7,4.8
1963-05-23,12.2,6.8
1963-05-24,17.9,5.2
1971-05-25,16.2,5.4
2013-05-26,16,5.6
1981-05-27,14.4,7.4
1984-05-28,10,7.4
2013-05-29,12.8,7
1980-05-30,17.4,7
1984-05-31,18,8.4
