fecha,maxima,minima
2001-05-01,16.8,5.8
2001-05-02,16.5,6.6
2001-05-03,16.6,7.2
1991-05-04,22.4,6.4
1991-05-05,22.2,8.4
1968-05-06,19,9
1985-05-07,20,6.8
1970-05-08,15.6,8.4
1968-05-09,21,9
1951-05-10,19.8,8
1951-05-11,22.2,8.2
1994-05-12,18.4,7.6
2018-05-13,24.6,8.4
1988-05-14,19.8,8.4
1985-05-15,18.6,8.6
1972-05-16,20.6,8.2
1985-05-17,25.6,8.4
1972-05-18,19.6,9.4
2013-05-19,17.6,7.8
2013-05-20,20.4,8.1
2013-05-21,23.8,9.4
1984-05-22,19.8,9.4
1956-05-23,22.1,8.5
1985-05-24,20.6,10.2
1987-05-25,22.2,9.8
1958-05-26,21.8,9.2
1958-05-27,23.4,9
1956-05-28,20,8.6
1993-05-29,21.8,9.8
1957-05-30,20.5,10.1
1957-05-31,21.5,11.1
