fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1979-05-01,Mayo,1,7.4,7.6,1979,1989
1957-05-02,Mayo,2,8.0,8.0,1957,1978
1983-05-03,Mayo,3,7.6,7.6,1983,1989
1991-05-04,Mayo,4,7.8,8.6,1991,1975
1991-05-05,Mayo,5,8.4,9.0,1991,1977
1972-05-06,Mayo,6,8.4,8.6,1972,1969
1975-05-07,Mayo,7,7.8,8.6,1975,1974
1968-05-08,Mayo,8,7.0,8.0,1968,1970
1970-05-09,Mayo,9,7.6,8.0,1970,1991
1970-05-10,Mayo,10,7.4,9.0,1970,1973
1951-05-11,Mayo,11,8.6,8.6,1951,1981
1982-05-12,Mayo,12,9.0,9.2,1982,1994
1985-05-13,Mayo,13,8.4,10.0,1985,1980
1994-05-14,Mayo,14,9.0,9.2,1994,1972
1972-05-15,Mayo,15,6.4,8.4,1972,1984
1983-05-16,Mayo,16,8.0,10.6,1983,1984
1983-05-17,Mayo,17,9.6,9.6,1983,1984
1972-05-18,Mayo,18,10.0,10.0,1972,1985
1972-05-19,Mayo,19,7.6,9.4,1972,1973
1984-05-20,Mayo,20,9.6,10.6,1984,1967
1980-05-21,Mayo,21,9.0,9.8,1980,1979
1972-05-22,Mayo,22,9.4,9.8,1972,1987
1984-05-23,Mayo,23,9.4,11.0,1984,1971
1972-05-24,Mayo,24,10.0,11.0,1972,1996
1978-05-25,Mayo,25,10.6,11.0,1978,1963
1971-05-26,Mayo,26,11.0,11.6,1971,1978
1950-05-27,Mayo,27,7.0,9.0,1950,1956
1950-05-28,Mayo,28,12.0,12.2,1950,1980
1954-05-29,Mayo,29,10.2,10.6,1954,1978
1956-05-30,Mayo,30,12.0,12.0,1956,1957
1969-05-31,Mayo,31,11.8,11.8,1969,1978
