fecha,maxima,minima
2016-05-01,12.7,0
1991-05-02,5.7,-0.5
1967-05-03,14.4,-1.4
1992-05-04,16,-1.2
1975-05-05,7.4,0.4
1991-05-06,11.2,-3
1982-05-07,14.2,-1
1997-05-08,13.4,-1.7
1982-05-09,15.6,0.4
1951-05-10,5.2,-2.3
1985-05-11,9.8,0
1991-05-12,16.6,-1.4
1995-05-13,15.2,-0.4
1972-05-14,8.2,0.4
1962-05-15,17,0
1972-05-16,6.6,0.6
1967-05-17,12,0
2013-05-18,9.1,0.4
1991-05-19,18.5,1.4
2015-05-20,16.2,1
1962-05-21,22,0.7
2015-05-22,18.5,0.4
2015-05-23,19.8,1.8
1983-05-24,13.8,2
1957-05-25,10.7,2
1971-05-26,9.4,1.6
1984-05-27,14.2,3.4
1962-05-28,19,0.8
1962-05-29,23,0.9
2013-05-30,14,2.6
2006-05-31,20.9,2.4
