fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1981-05-01,Mayo,1,8.2,8.5,1981,1954
1957-05-02,Mayo,2,6.5,7.9,1957,2012
1954-05-03,Mayo,3,7.6,8.6,1954,1957
1957-05-04,Mayo,4,7.0,8.7,1957,2006
1963-05-05,Mayo,5,7.4,8.0,1963,1954
1976-05-06,Mayo,6,8.0,8.6,1976,1973
2007-05-07,Mayo,7,7.2,8.0,2007,1972
1965-05-08,Mayo,8,8.6,9.5,1965,1957
1976-05-09,Mayo,9,8.4,9.0,1976,1972
1954-05-10,Mayo,10,6.0,9.2,1954,2001
1981-05-11,Mayo,11,9.2,9.4,1981,1952
1982-05-12,Mayo,12,8.4,9.0,1982,1994
1972-05-13,Mayo,13,8.2,8.6,1972,1963
1968-05-14,Mayo,14,8.0,9.4,1968,1967
1953-05-15,Mayo,15,9.0,9.0,1953,1986
1986-05-16,Mayo,16,9.0,9.3,1986,2014
1953-05-17,Mayo,17,8.0,9.5,1953,1954
1954-05-18,Mayo,18,8.7,9.2,1954,1988
1954-05-19,Mayo,19,8.5,9.6,1954,1972
1956-05-20,Mayo,20,7.5,9.2,1956,1954
1954-05-21,Mayo,21,8.6,9.4,1954,2004
2007-05-22,Mayo,22,9.3,9.5,2007,1954
2007-05-23,Mayo,23,8.6,10.0,2007,1955
2007-05-24,Mayo,24,7.6,9.8,2007,1962
2007-05-25,Mayo,25,7.9,9.8,2007,1977
2007-05-26,Mayo,26,7.6,9.8,2007,1952
1957-05-27,Mayo,27,8.5,10.0,1957,1956
1952-05-28,Mayo,28,9.8,10.0,1952,1953
1956-05-29,Mayo,29,8.5,9.2,1956,1952
1957-05-30,Mayo,30,10.0,10.2,1957,1952
1963-05-31,Mayo,31,9.0,10.0,1963,1957
