fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1974-11-01,Noviembre,1,9.4,10,1974,1966
1966-11-02,Noviembre,2,9.6,10.2,1966,1976
2008-11-03,Noviembre,3,10.2,10.6,2008,1990
1966-11-04,Noviembre,4,10,10.4,1966,1990
2018-11-05,Noviembre,5,9.5,9.8,2018,1989
2018-11-06,Noviembre,6,9,9.6,2018,1984
1957-11-07,Noviembre,7,9,9,1957,1976
1974-11-08,Noviembre,8,8.6,8.8,1974,2000
2001-11-09,Noviembre,9,8.6,8.9,2001,2019
2001-11-10,Noviembre,10,7.4,8.4,2001,1957
1971-11-11,Noviembre,11,8,8,1971,2001
1971-11-12,Noviembre,12,6.8,8.5,1971,1957
1966-11-13,Noviembre,13,8,8.4,1966,1971
1961-11-14,Noviembre,14,8.5,9,1961,1976
2001-11-15,Noviembre,15,7.6,8,2001,1960
2001-11-16,Noviembre,16,6.2,6.8,2001,2004
1982-11-17,Noviembre,17,7,7.2,1982,2019
1976-11-18,Noviembre,18,7.6,7.8,1976,2004
1976-11-19,Noviembre,19,7.6,7.6,1976,2004
1999-11-20,Noviembre,20,7,7.7,1999,1962
1999-11-21,Noviembre,21,5.4,6,1999,1962
1976-11-22,Noviembre,22,7,7,1976,1991
1991-11-23,Noviembre,23,6,6,1991,1999
1965-11-24,Noviembre,24,5.6,6,1965,1991
1971-11-25,Noviembre,25,6,6,1971,1976
1976-11-26,Noviembre,26,5.6,7,1976,1977
1976-11-27,Noviembre,27,5.2,6,1976,1971
1971-11-28,Noviembre,28,6.1,7,1971,1976
2018-11-29,Noviembre,29,6.2,6.4,2018,1971
2013-11-30,Noviembre,30,3.1,6.2,2013,1976
