fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1974-11-01,Noviembre,1,1.6,2.0,1974,1956
1966-11-02,Noviembre,2,3.4,4.8,1966,1956
1956-11-03,Noviembre,3,4.0,5.0,1956,1952
1966-11-04,Noviembre,4,1.8,4.3,1966,2021
1956-11-05,Noviembre,5,2.0,4.4,1956,1970
1974-11-06,Noviembre,6,4.0,4.0,1974,1986
1974-11-07,Noviembre,7,3.6,3.8,1974,2021
2021-11-08,Noviembre,8,2.2,2.6,2021,1975
1967-11-09,Noviembre,9,0.0,3.0,1967,1974
1974-11-10,Noviembre,10,3.4,3.8,1974,2001
1971-11-11,Noviembre,11,2.0,2.0,1971,2001
1971-11-12,Noviembre,12,1.4,2.8,1971,2001
1971-11-13,Noviembre,13,-0.4,4.1,1971,2001
1971-11-14,Noviembre,14,1.0,2.4,1971,1961
2004-11-15,Noviembre,15,1.8,2.2,2004,2008
2019-11-16,Noviembre,16,0.1,0.1,2019,2019
2013-11-17,Noviembre,17,-0.2,1.3,2013,2019
1956-11-18,Noviembre,18,1.0,2.6,1956,2008
1975-11-19,Noviembre,19,-0.2,0.2,1975,1952
1985-11-20,Noviembre,20,1.0,1.2,1985,1962
1952-11-21,Noviembre,21,-1.0,0.6,1952,1999
1967-11-22,Noviembre,22,0.4,0.9,1967,1999
1976-11-23,Noviembre,23,0.6,1.3,1976,1999
1976-11-24,Noviembre,24,1.4,1.5,1976,2021
1977-11-25,Noviembre,25,0.0,1.2,1977,2015
2013-11-26,Noviembre,26,-0.1,0.0,2013,1977
1966-11-27,Noviembre,27,0.6,0.6,1966,1987
2008-11-28,Noviembre,28,-0.8,0.5,2008,2021
1969-11-29,Noviembre,29,0.4,0.4,1969,1980
2013-11-30,Noviembre,30,-0.2,0.8,2013,1990
