fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1966-11-01,Noviembre,1,-1.2,1.5,1966,1986
1992-11-02,Noviembre,2,0.4,3.2,1992,1974
1986-11-03,Noviembre,3,0.8,2,1986,1975
1986-11-04,Noviembre,4,-1.6,0.3,1986,1990
1986-11-05,Noviembre,5,-2,-0.7,1986,1990
1986-11-06,Noviembre,6,-1.2,-0.2,1986,2021
2021-11-07,Noviembre,7,-1.4,-1.3,2021,2017
1986-11-08,Noviembre,8,-1.3,-0.5,1986,1998
1991-11-09,Noviembre,9,-0.5,0,1991,1975
2001-11-10,Noviembre,10,-2.6,-1,2001,1975
1991-11-11,Noviembre,11,-1.7,-1.2,1991,2007
2007-11-12,Noviembre,12,-1.8,-1.5,2007,1991
1966-11-13,Noviembre,13,0,0,1966,2007
1985-11-14,Noviembre,14,-2.8,-0.5,1985,2007
2004-11-15,Noviembre,15,-3,-2.4,2004,2017
2004-11-16,Noviembre,16,-3.5,-3.5,2004,2007
2007-11-17,Noviembre,17,-7,-3,2007,1993
2007-11-18,Noviembre,18,-7.5,-2.5,2007,2004
2007-11-19,Noviembre,19,-5,-2,2007,1985
1985-11-20,Noviembre,20,-3.6,-3.2,1985,1969
1985-11-21,Noviembre,21,-5.2,-4.5,1985,1999
1988-11-22,Noviembre,22,-4.7,-4.2,1988,1985
1988-11-23,Noviembre,23,-7.4,-5,1988,1985
1988-11-24,Noviembre,24,-6.8,-5,1988,1985
1988-11-25,Noviembre,25,-6.8,-3.8,1988,1991
1971-11-26,Noviembre,26,-4.8,-3.4,1971,2008
1971-11-27,Noviembre,27,-3.8,-3.8,1971,2008
1985-11-28,Noviembre,28,-4.4,-3.5,1985,1988
1969-11-29,Noviembre,29,-4.4,-3.6,1969,1985
1978-11-30,Noviembre,30,-6.2,-3.8,1978,2017
