fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1966-11-01,Noviembre,1,4.5,5.4,1966,1983
1966-11-02,Noviembre,2,5.8,6.8,1966,1990
1990-11-03,Noviembre,3,5.0,6.9,1990,2008
1975-11-04,Noviembre,4,3.5,5.0,1975,1970
1975-11-05,Noviembre,5,5.4,5.5,1975,1970
1974-11-06,Noviembre,6,3.8,4.5,1974,1975
1974-11-07,Noviembre,7,3.6,4.0,1974,1991
1974-11-08,Noviembre,8,4.4,4.4,1974,1991
1974-11-09,Noviembre,9,3.0,4.5,1974,1991
1974-11-10,Noviembre,10,3.0,4.8,1974,2000
1971-11-11,Noviembre,11,3.6,6.4,1971,1979
1979-11-12,Noviembre,12,1.2,3.0,1979,1971
1971-11-13,Noviembre,13,3.0,4.0,1971,1966
1959-11-14,Noviembre,14,1.5,3.8,1959,1971
2004-11-15,Noviembre,15,2.8,3.0,2004,1980
2004-11-16,Noviembre,16,0.0,2.2,2004,1951
2004-11-17,Noviembre,17,1.0,1.4,2004,2007
1968-11-18,Noviembre,18,1.0,2.0,1968,2004
1954-11-19,Noviembre,19,1.4,3.1,1954,1952
1985-11-20,Noviembre,20,1.6,2.4,1985,1952
1966-11-21,Noviembre,21,-1.5,1.0,1966,1952
1976-11-22,Noviembre,22,-0.8,3.5,1976,1966
1991-11-23,Noviembre,23,1.0,2.0,1991,1976
1991-11-24,Noviembre,24,-0.5,0.0,1991,1965
1966-11-25,Noviembre,25,-1.0,0.0,1966,1965
1976-11-26,Noviembre,26,-0.4,2.0,1976,2013
1966-11-27,Noviembre,27,1.0,1.6,1966,1976
1969-11-28,Noviembre,28,1.0,1.4,1969,2008
1987-11-29,Noviembre,29,0.5,2.2,1987,1979
2013-11-30,Noviembre,30,1.4,2.2,2013,1990
