fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1966-11-01,Noviembre,1,5,5.3,1966,1956
1956-11-02,Noviembre,2,5,5.4,1956,1966
1956-11-03,Noviembre,3,5.2,7.5,1956,1966
1956-11-04,Noviembre,4,5.2,5.8,1956,1966
1956-11-05,Noviembre,5,5.5,7,1956,1980
1980-11-06,Noviembre,6,3.6,5.2,1980,1974
1974-11-07,Noviembre,7,5.6,6,1974,1951
1974-11-08,Noviembre,8,5.6,6.2,1974,1991
1957-11-09,Noviembre,9,6,6.6,1957,2000
2001-11-10,Noviembre,10,5.6,6,2001,1958
1971-11-11,Noviembre,11,3.8,4.6,1971,1979
1979-11-12,Noviembre,12,5.4,5.8,1979,1957
1960-11-13,Noviembre,13,6.2,6.2,1960,1966
1980-11-14,Noviembre,14,5.8,6,1980,1956
1980-11-15,Noviembre,15,4.6,4.8,1980,1962
1967-11-16,Noviembre,16,1,4.4,1967,2001
2007-11-17,Noviembre,17,2.4,4.8,2007,1955
2007-11-18,Noviembre,18,3,4.8,2007,1955
1952-11-19,Noviembre,19,3.4,4.2,1952,1985
1985-11-20,Noviembre,20,2.8,3.9,1985,1952
1985-11-21,Noviembre,21,2.2,3.6,1985,1999
1976-11-22,Noviembre,22,2.2,3.6,1976,1993
1988-11-23,Noviembre,23,2.4,2.6,1988,1999
1965-11-24,Noviembre,24,0.7,1.6,1965,1988
1965-11-25,Noviembre,25,-0.8,3.6,1965,1966
1971-11-26,Noviembre,26,2.6,3.4,1971,1976
1976-11-27,Noviembre,27,2.6,3.4,1976,1969
1969-11-28,Noviembre,28,2,3.5,1969,2008
1969-11-29,Noviembre,29,2.8,3.2,1969,2013
1978-11-30,Noviembre,30,3,3.2,1978,1969
