fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1952-10-01,Octubre,1,5.5,6.8,1952,1988
1952-10-02,Octubre,2,4.6,5.2,1952,1984
1974-10-03,Octubre,3,3.6,6.6,1974,1950
2020-10-04,Octubre,4,4.3,5.6,2020,1989
2008-10-05,Octubre,5,2.4,5.4,2008,2010
1999-10-06,Octubre,6,3.4,3.5,1999,2008
1991-10-07,Octubre,7,2.8,5.2,1991,2008
1991-10-08,Octubre,8,1.8,3,1991,1993
1956-10-09,Octubre,9,2.6,2.8,1956,1993
2015-10-10,Octubre,10,4.7,5.6,2015,1974
2016-10-11,Octubre,11,3.2,4.2,2016,1987
2013-10-12,Octubre,12,1.9,4,2013,1989
2013-10-13,Octubre,13,3.6,4.2,2013,1974
1954-10-14,Octubre,14,4.5,4.8,1954,2007
2016-10-15,Octubre,15,2.9,3,2016,1993
2015-10-16,Octubre,16,1.5,2.2,2015,1989
2020-10-17,Octubre,17,-0.1,2.3,2020,2015
2009-10-18,Octubre,18,2.1,2.4,2009,2002
2009-10-19,Octubre,19,-0.6,2.4,2009,1951
1980-10-20,Octubre,20,2,2.6,1980,1975
2010-10-21,Octubre,21,1.5,2.2,2010,1987
1992-10-22,Octubre,22,-1,0.9,1992,2010
1991-10-23,Octubre,23,-1.2,2.4,1991,2008
1991-10-24,Octubre,24,-0.4,0.3,1991,2008
1970-10-25,Octubre,25,-0.8,-0.2,1970,1991
1983-10-26,Octubre,26,-0.2,0,1983,1955
1955-10-27,Octubre,27,1.4,2.2,1955,1970
1970-10-28,Octubre,28,1.8,1.9,1970,2007
1964-10-29,Octubre,29,0.8,1.6,1964,2012
2018-10-30,Octubre,30,-0.2,0.5,2018,2012
1996-10-31,Octubre,31,-1,1.8,1996,1953
