fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1957-09-01,Septiembre,1,9.4,10,1957,1971
1956-09-02,Septiembre,2,6.6,7.6,1956,1965
1956-09-03,Septiembre,3,9,9.3,1956,1996
1976-09-04,Septiembre,4,8.4,8.8,1976,1989
1972-09-05,Septiembre,5,8.2,8.5,1972,1989
1976-09-06,Septiembre,6,8.4,9.7,1976,2000
1984-09-07,Septiembre,7,7.4,10,1984,1974
1963-09-08,Septiembre,8,6.2,8.8,1963,1967
1963-09-09,Septiembre,9,6.4,6.8,1963,1952
1967-09-10,Septiembre,10,7.8,8,1967,1963
1965-09-11,Septiembre,11,6,7.4,1965,1972
1972-09-12,Septiembre,12,6.4,7.2,1972,1953
1978-09-13,Septiembre,13,8.4,8.8,1978,1972
1976-09-14,Septiembre,14,9.4,9.6,1976,1996
1996-09-15,Septiembre,15,7,9.4,1996,1952
1957-09-16,Septiembre,16,7.2,7.4,1957,1971
1971-09-17,Septiembre,17,5,5.8,1971,1972
1966-09-18,Septiembre,18,5,5,1966,1977
1977-09-19,Septiembre,19,4.4,6.9,1977,1994
1962-09-20,Septiembre,20,5.4,5.6,1962,1977
1977-09-21,Septiembre,21,4.8,7.2,1977,1974
1977-09-22,Septiembre,22,5.6,7,1977,1978
1962-09-23,Septiembre,23,7,7.4,1962,1979
1973-09-24,Septiembre,24,6.4,7.4,1973,1950
2002-09-25,Septiembre,25,6,8,2002,1965
2002-09-26,Septiembre,26,5.1,6.8,2002,1972
1972-09-27,Septiembre,27,4.4,7.1,1972,2002
1972-09-28,Septiembre,28,3.8,5.8,1972,1950
1972-09-29,Septiembre,29,6.4,7.5,1972,1952
1953-09-30,Septiembre,30,6,7,1953,1955
