fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1992-09-01,Septiembre,1,10.2,11.0,1992,1956
1956-09-02,Septiembre,2,9.0,13.0,1956,2020
1956-09-03,Septiembre,3,8.4,9.0,1956,1974
1972-09-04,Septiembre,4,12.4,13.2,1972,1954
1954-09-05,Septiembre,5,11.0,11.2,1954,1963
1956-09-06,Septiembre,6,11.0,12.6,1956,1965
1972-09-07,Septiembre,7,11.4,12.0,1972,1952
1994-09-08,Septiembre,8,13.0,13.2,1994,2010
1956-09-09,Septiembre,9,12.4,12.6,1956,1994
1965-09-10,Septiembre,10,9.6,10.6,1965,1956
1952-09-11,Septiembre,11,10.0,10.8,1952,1970
1969-09-12,Septiembre,12,10.2,11.2,1969,1970
1976-09-13,Septiembre,13,9.0,9.2,1976,1969
1969-09-14,Septiembre,14,10.4,10.8,1969,1952
1975-09-15,Septiembre,15,7.0,9.2,1975,1994
1975-09-16,Septiembre,16,8.6,10.4,1975,1988
1960-09-17,Septiembre,17,10.0,10.0,1960,1968
2005-09-18,Septiembre,18,9.4,9.9,2005,2015
1969-09-19,Septiembre,19,8.2,8.6,1969,2005
1972-09-20,Septiembre,20,9.2,10.0,1972,2000
1972-09-21,Septiembre,21,6.8,9.0,1972,2000
1994-09-22,Septiembre,22,10.4,11.2,1994,2000
1979-09-23,Septiembre,23,9.6,10.2,1979,1982
1973-09-24,Septiembre,24,10.2,10.4,1973,1993
1982-09-25,Septiembre,25,10.0,10.2,1982,1953
1965-09-26,Septiembre,26,8.6,8.6,1965,1993
1995-09-27,Septiembre,27,8.4,9.4,1995,1962
1993-09-28,Septiembre,28,7.4,7.8,1993,2024
1974-09-29,Septiembre,29,7.6,9.4,1974,1993
1974-09-30,Septiembre,30,9.2,10.1,1974,2022
