fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1974-09-01,Septiembre,1,8.2,8.2,1974,1977
1965-09-02,Septiembre,2,8.8,9.0,1965,1977
1965-09-03,Septiembre,3,6.2,8.0,1965,1956
1974-09-04,Septiembre,4,7.4,9.2,1974,1965
1965-09-05,Septiembre,5,9.6,10.2,1965,1954
1972-09-06,Septiembre,6,8.2,9.4,1972,1965
1973-09-07,Septiembre,7,9.0,9.2,1973,1952
1974-09-08,Septiembre,8,8.0,9.0,1974,1963
1972-09-09,Septiembre,9,8.4,9.2,1972,1973
1975-09-10,Septiembre,10,8.0,8.2,1975,1965
1965-09-11,Septiembre,11,7.2,8.8,1965,1963
1975-09-12,Septiembre,12,8.2,8.6,1975,1965
1976-09-13,Septiembre,13,5.4,7.4,1976,1969
1976-09-14,Septiembre,14,5.0,7.8,1976,1969
1972-09-15,Septiembre,15,5.4,6.4,1972,1975
1975-09-16,Septiembre,16,2.0,5.6,1975,1972
1976-09-17,Septiembre,17,6.2,6.6,1976,1972
1975-09-18,Septiembre,18,5.0,5.8,1975,1976
1969-09-19,Septiembre,19,5.8,6.2,1969,1975
1971-09-20,Septiembre,20,6.0,7.2,1971,1975
2000-09-21,Septiembre,21,6.6,7.0,2000,1969
1977-09-22,Septiembre,22,6.6,7.0,1977,1969
1977-09-23,Septiembre,23,5.4,6.0,1977,1973
1979-09-24,Septiembre,24,4.4,5.4,1979,1973
1973-09-25,Septiembre,25,4.0,6.2,1973,1974
1973-09-26,Septiembre,26,5.2,7.0,1973,1982
1995-09-27,Septiembre,27,6.4,7.0,1995,1982
1965-09-28,Septiembre,28,5.2,5.8,1965,1973
1974-09-29,Septiembre,29,3.4,7.0,1974,1972
1974-09-30,Septiembre,30,1.0,7.0,1974,1953
