fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1992-09-01,Septiembre,1,7.4,7.6,1992,1965
1965-09-02,Septiembre,2,6.4,8.8,1965,1963
1956-09-03,Septiembre,3,7.0,9.2,1956,2020
1956-09-04,Septiembre,4,7.2,7.6,1956,1996
1967-09-05,Septiembre,5,9.4,9.4,1967,1972
2015-09-06,Septiembre,6,9.3,9.4,2015,1992
1984-09-07,Septiembre,7,7.8,8.8,1984,1974
1963-09-08,Septiembre,8,7.6,9.3,1963,2017
1952-09-09,Septiembre,9,6.8,7.6,1952,1994
1956-09-10,Septiembre,10,8.2,8.4,1956,1967
1965-09-11,Septiembre,11,5.4,6.4,1965,1976
1965-09-12,Septiembre,12,7.0,7.4,1965,1970
1953-09-13,Septiembre,13,7.0,7.6,1953,1983
2024-09-14,Septiembre,14,6.7,6.7,2024,2024
1957-09-15,Septiembre,15,8.0,8.2,1957,1968
1957-09-16,Septiembre,16,6.6,7.0,1957,1967
2017-09-17,Septiembre,17,5.8,6.2,2017,1971
1971-09-18,Septiembre,18,5.6,6.6,1971,1966
2001-09-19,Septiembre,19,6.8,7.0,2001,1994
1977-09-20,Septiembre,20,5.0,5.6,1977,2017
1977-09-21,Septiembre,21,4.6,5.4,1977,2000
2005-09-22,Septiembre,22,4.0,6.0,2005,1977
1977-09-23,Septiembre,23,5.4,6.0,1977,1974
1981-09-24,Septiembre,24,7.2,7.4,1981,1992
2002-09-25,Septiembre,25,6.4,8.4,2002,1973
1984-09-26,Septiembre,26,5.6,6.4,1984,2002
2008-09-27,Septiembre,27,4.8,5.4,2008,2010
1993-09-28,Septiembre,28,3.0,4.7,1993,2007
1993-09-29,Septiembre,29,4.4,5.1,1993,2024
1974-09-30,Septiembre,30,5.2,6.4,1974,2020
