fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1956-09-01,Septiembre,1,6.4,7.5,1956,1966
1997-09-02,Septiembre,2,5.8,6.4,1997,1956
1965-09-03,Septiembre,3,5.5,8.0,1965,2022
1968-09-04,Septiembre,4,4.7,7.2,1968,1983
1965-09-05,Septiembre,5,8.0,8.0,1965,1968
2002-09-06,Septiembre,6,6.0,6.8,2002,1960
1952-09-07,Septiembre,7,7.0,7.2,1952,1984
1952-09-08,Septiembre,8,6.2,7.8,1952,1957
2013-09-09,Septiembre,9,6.9,7.4,2013,1952
1952-09-10,Septiembre,10,6.2,7.8,1952,1965
1970-09-11,Septiembre,11,5.4,6.8,1970,1965
1965-09-12,Septiembre,12,3.8,7.0,1965,1952
2001-09-13,Septiembre,13,5.0,6.3,2001,2008
1999-09-14,Septiembre,14,4.4,7.0,1999,1954
1954-09-15,Septiembre,15,6.0,6.7,1954,1957
1970-09-16,Septiembre,16,5.3,5.5,1970,1967
1976-09-17,Septiembre,17,5.0,6.4,1976,1972
1970-09-18,Septiembre,18,6.0,7.0,1970,1966
1994-09-19,Septiembre,19,7.2,7.6,1994,1966
1989-09-20,Septiembre,20,5.6,6.0,1989,1952
1956-09-21,Septiembre,21,6.2,6.8,1956,1960
1960-09-22,Septiembre,22,6.0,6.6,1960,1981
1965-09-23,Septiembre,23,4.0,5.2,1965,1979
1993-09-24,Septiembre,24,5.0,6.0,1993,1973
1984-09-25,Septiembre,25,6.0,6.6,1984,1950
1984-09-26,Septiembre,26,5.0,6.0,1984,2005
1995-09-27,Septiembre,27,3.0,4.3,1995,2012
1993-09-28,Septiembre,28,4.0,4.7,1993,2024
1974-09-29,Septiembre,29,3.0,3.4,1974,1951
1951-09-30,Septiembre,30,4.6,4.6,1951,1982
