fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1952-09-01,Septiembre,1,12.6,12.6,1952,1954
1952-09-02,Septiembre,2,12.5,13.0,1952,1986
1972-09-03,Septiembre,3,13.4,13.8,1972,1956
1956-09-04,Septiembre,4,11.0,12.8,1956,1963
1971-09-05,Septiembre,5,13.0,13.4,1971,1954
1954-09-06,Septiembre,6,11.0,11.7,1954,2007
1952-09-07,Septiembre,7,12.0,12.0,1952,2007
2007-09-08,Septiembre,8,12.9,13.8,2007,1965
1954-09-09,Septiembre,9,13.6,14.0,1954,1979
1953-09-10,Septiembre,10,13.8,13.8,1953,1967
1959-09-11,Septiembre,11,13.4,13.4,1959,2007
1959-09-12,Septiembre,12,11.4,12.8,1959,1954
1953-09-13,Septiembre,13,13.4,13.5,1953,1957
1953-09-14,Septiembre,14,12.6,13.0,1953,1965
1952-09-15,Septiembre,15,12.6,13.1,1952,2007
2007-09-16,Septiembre,16,12.2,12.3,2007,1954
1954-09-17,Septiembre,17,11.6,12.4,1954,1964
1953-09-18,Septiembre,18,11.4,12.7,1953,2007
1952-09-19,Septiembre,19,12.4,13.2,1952,1986
2007-09-20,Septiembre,20,12.3,12.6,2007,1961
1963-09-21,Septiembre,21,12.0,12.4,1963,1954
2013-09-22,Septiembre,22,12.8,13.0,2013,1952
1965-09-23,Septiembre,23,12.4,12.4,1965,2013
1956-09-24,Septiembre,24,12.0,12.0,1956,1965
1963-09-25,Septiembre,25,12.0,12.6,1963,1962
1960-09-26,Septiembre,26,10.0,13.1,1960,2006
1963-09-27,Septiembre,27,12.0,12.6,1963,2007
1953-09-28,Septiembre,28,11.8,12.4,1953,2006
1957-09-29,Septiembre,29,12.0,12.0,1957,1964
2007-09-30,Septiembre,30,10.2,11.8,2007,1957
