fecha,maxima
1960-05-25,30
1960-05-26,32.2
1960-05-27,32.8
1960-06-12,30.4
1960-06-16,30.2
1960-06-17,30.8
1960-06-18,31.4
1960-06-19,33.6
1960-06-20,34.6
1960-06-21,35.2
1960-06-22,32.8
1960-06-23,31
1960-06-28,31.8
1960-06-29,31.2
1960-07-01,31
1960-07-05,30.6
1960-07-06,30
1960-07-10,32.4
1960-07-11,31
1960-07-15,30.6
1960-07-16,30
1960-07-20,32.4
1960-07-24,32.4
1960-07-25,32.6
1960-07-26,34.8
1960-07-27,32
1960-07-28,31.4
1960-07-30,31.8
1960-08-07,30.4
1960-08-10,30
1960-08-11,31.6
1960-08-12,31.6
1960-08-14,30
1960-08-15,30.6
1960-08-16,31
1960-08-17,31.6
1960-08-20,30.6
1960-08-21,33
1960-08-22,34.4
1960-08-23,34.6
1960-08-24,34.6
1960-08-25,33.6
1960-08-26,32.2
1960-08-27,31.6
1960-08-28,32.2
1960-08-29,30.4
1960-09-03,30.8
1960-09-12,30.2
1961-05-14,32.8
1961-05-15,33.4
1961-05-16,30.4
1961-06-13,31.6
1961-06-15,30
1961-06-17,30.2
1961-06-18,30.6
1961-06-19,32.4
1961-06-20,34.2
1961-06-21,34.2
1961-06-22,33.4
1961-06-23,34.2
1961-06-24,32.4
1961-06-25,34.8
1961-06-26,31
1961-06-29,32.6
1961-06-30,34
1961-07-01,30.4
1961-07-02,33.6
1961-07-03,32.2
1961-07-04,32.8
1961-07-05,31.8
1961-07-06,30.6
1961-07-07,32.4
1961-07-08,31.4
1961-07-09,33.6
1961-07-10,33.4
1961-07-11,35.8
1961-07-12,30.8
1961-07-14,32.2
1961-07-18,30.6
1961-07-19,33.2
1961-07-20,32.2
1961-07-21,30
1961-07-22,32.8
1961-07-23,32.6
1961-07-24,30.4
1961-07-25,33.6
1961-07-26,36.4
1961-07-28,31.4
1961-07-29,30.6
1961-08-01,31.2
1961-08-02,31.8
1961-08-04,31.8
1961-08-05,33.8
1961-08-06,30.8
1961-08-07,35.4
1961-08-08,36.6
1961-08-09,33.4
1961-08-22,32
1961-08-23,30.2
1961-08-25,32.2
1961-08-26,33.4
1961-08-27,33.4
1961-08-28,34.6
1961-08-29,35.2
1961-08-30,34.4
1961-08-31,33.6
1961-09-01,32.6
1961-09-02,32.4
1961-09-10,30.4
1961-09-11,30.4
1961-09-13,32.2
1961-09-14,33.8
1961-09-15,33.6
1961-09-16,31.8
1961-09-17,30.6
1961-09-25,30.6
1961-09-26,31.4
1961-09-27,30.6
1962-05-06,30.6
1962-05-07,32
1962-05-08,30.8
1962-06-12,30.2
1962-06-17,31.8
1962-06-18,33
1962-06-19,32.8
1962-06-20,30.2
1962-06-21,31.6
1962-06-22,33.6
1962-06-23,34.6
1962-06-24,35.8
1962-06-25,32.8
1962-06-26,33.2
1962-06-28,30
1962-06-29,31.4
1962-06-30,30
1962-07-02,30
1962-07-03,33.6
1962-07-04,30.8
1962-07-09,32
1962-07-10,33.6
1962-07-11,34.2
1962-07-12,31.6
1962-07-13,35
1962-07-14,34.8
1962-07-15,30
1962-07-18,31.6
1962-07-19,34.2
1962-07-20,30.6
1962-07-21,35.6
1962-07-22,31.6
1962-07-23,33
1962-07-24,34.2
1962-07-25,34.2
1962-07-26,34.6
1962-07-27,32.2
1962-07-28,30
1962-07-29,31.6
1962-07-30,31.8
1962-07-31,34.4
1962-08-01,36
1962-08-02,31.2
1962-08-03,33
1962-08-04,32.6
1962-08-05,34.6
1962-08-06,34.4
1962-08-10,31.2
1962-08-11,33.6
1962-08-12,33
1962-08-13,35.4
1962-08-14,36.6
1962-08-15,30.8
1962-08-16,30.6
1962-08-17,31.6
1962-08-18,33.2
1962-08-19,36
1962-08-20,35.8
1962-08-21,31.8
1962-08-23,31.6
1962-08-24,34.6
1962-08-25,35
1962-08-26,34.4
1962-08-27,35
1962-08-28,36
1962-08-29,33.6
1962-08-30,35
1962-08-31,31.4
1962-09-01,30.6
1962-09-02,35
1962-09-03,33.4
1962-09-04,31
1962-09-05,30.6
1962-09-06,33.6
1962-09-07,32.6
1962-09-08,32
1962-09-09,32.6
1962-09-10,35
1962-09-11,35.6
1962-09-12,35.6
1962-09-13,31.4
1962-09-14,32.8
1962-09-15,31.6
1963-06-17,31.6
1963-06-18,35.4
1963-06-20,33.6
1963-06-21,34.8
1963-06-22,35.4
1963-06-23,30.2
1963-06-25,30.6
1963-06-26,31.6
1963-06-27,30.4
1963-07-02,30.6
