fecha,maxima
1952-06-07,30.5
1952-07-12,38.4
1952-07-13,38.4
1952-07-14,38
1952-07-15,31.4
1952-08-09,34.4
1952-08-18,32
1952-08-19,31.5
1952-08-26,31.7
1952-10-08,31.9
1952-10-09,33
1952-10-10,32.4
1952-10-11,30.8
1952-10-12,30.6
1953-05-28,31.8
1953-05-29,34
1953-05-30,30
1953-07-20,39.5
1953-07-21,38.6
1953-07-22,38.5
1953-07-26,32.6
1953-07-27,34.5
1953-08-19,31.4
1953-08-20,32.2
1953-08-21,33
1953-08-27,32.4
1953-08-28,32.5
1953-08-30,31.8
1953-08-31,33.8
1953-09-01,32.2
1953-09-02,33
1954-07-24,33
1954-07-25,36.4
1954-07-26,38
1954-08-18,35.4
1954-08-19,37
1954-08-20,36.2
1954-08-23,31
1954-09-22,33
1954-09-23,34.2
1954-09-24,30.6
1954-09-26,30.4
1954-09-29,30
1954-09-30,31.6
1954-10-14,30
1954-10-17,31.1
1954-10-18,30.6
1955-05-09,31.6
1955-05-10,31
1955-05-11,33
1955-05-12,33
1955-05-13,33
1955-08-11,30
1955-09-01,31.6
1955-09-02,36.2
1955-09-03,33
1955-09-04,30.8
1955-09-05,31.6
1955-09-06,32.5
1956-07-06,35
1956-07-07,35.8
1956-07-08,35.4
1956-08-02,38.4
1956-08-03,37.2
1956-08-04,36.5
1956-08-05,32
1956-09-30,31.6
1956-10-01,30
1956-10-02,30.6
1957-07-10,33.2
1957-07-11,40
1957-07-12,39.8
1957-07-13,37.2
1957-07-14,33
1957-07-15,31.4
1957-07-21,31
1957-07-22,31.5
1957-07-23,33.2
1957-08-27,30.6
1957-09-05,33.5
1957-09-06,31
1957-09-18,30
1958-05-06,31.8
1958-07-27,32.5
1958-07-28,32.2
1958-07-29,32.8
1958-08-01,32.6
1958-08-02,31
1958-08-07,31.2
1958-08-14,37.8
1958-08-15,40.4
1958-08-16,40.6
1958-08-17,39
1958-08-18,30
1958-09-24,30.8
1958-09-25,32.5
1958-09-26,33.6
1958-10-17,30
1958-10-18,30.8
1959-08-17,33.8
1959-08-18,34.5
1959-08-19,37.6
1959-08-20,30.2
1959-08-24,33.4
1960-08-23,33
1960-08-24,33.8
1960-08-25,30.4
1960-09-01,31.5
1961-07-09,35
1961-07-10,33
1961-07-16,31.6
1961-07-28,33
1961-08-17,38.5
1961-08-18,37.4
1961-08-19,35.8
1961-08-23,30.5
1961-08-24,37.1
1961-08-25,36.5
1961-08-26,34
1961-08-27,30.5
1961-08-28,31.3
1961-09-14,34.5
1961-09-15,37.4
1961-09-16,36.3
1961-10-26,30.2
1962-05-05,30
1962-07-17,32
1962-07-18,34.4
1962-07-31,35
1962-08-01,35
1962-08-02,35
