fecha,minima
1975-08-08,25.2
1993-08-06,25.6
2003-06-26,25.0
2003-07-22,25.0
2003-07-23,25.1
2003-07-25,25.4
2003-07-26,25.6
2003-07-28,26.2
2004-07-24,25.2
2005-07-18,25.0
2008-08-08,25.0
2010-07-17,25.8
2010-08-09,25.1
2012-08-27,25.0
2014-08-12,25.1
2015-07-21,25.9
2015-07-25,25.7
2015-07-28,25.2
2015-07-29,25.1
2015-08-12,25.1
2017-07-14,25.0
2018-08-04,25.2
2018-08-05,26.5
2018-08-06,25.6
2018-08-10,25.0
2019-08-07,25.0
2019-08-11,25.1
2020-08-02,25.4
2021-08-15,25.7
2022-07-27,25.3
2022-07-28,25.6
2022-07-29,25.3
2022-07-31,25.9
2022-08-01,25.1
2022-08-13,26.6
2022-08-14,25.9
2023-07-16,26.2
2023-07-17,25.5
2023-07-18,25.6
2023-07-19,26.1
2023-07-20,26.5
2023-07-22,25.4
2023-07-23,25.5
2023-07-24,25.9
2023-07-31,26.2
2023-08-01,25.0
2023-08-02,25.1
2023-08-24,25.5
