fecha,minima
1980-08-22,25
1982-07-11,25
1989-07-21,27
1991-07-18,26.4
1992-08-02,26.4
1992-08-06,25.4
1995-07-16,26
1995-07-19,25.6
1995-07-20,25.6
1995-07-22,25.4
1995-07-24,25
1995-08-10,25
1995-08-13,25.4
1995-08-14,25.2
1995-08-15,25
2000-08-02,25.6
2003-07-30,27
2003-07-31,25.2
2003-08-01,25
2003-08-02,26.8
2003-08-07,25.7
2003-08-08,25.4
2003-08-10,25
2003-08-11,25.4
2003-08-12,25.7
2003-08-13,25.3
2003-08-14,25.4
2004-06-29,25
2004-06-30,25.9
2004-07-23,26.4
2004-07-24,27
2004-07-25,29.3
2004-07-26,26
2004-08-25,25.8
2006-07-11,27.8
2006-07-12,26.4
2006-07-18,25.6
2009-06-14,25.3
2009-06-18,26.6
2010-07-07,26
2010-07-25,25
2010-07-28,25
2010-07-29,25.8
2010-08-08,26.6
2010-08-09,26.8
2010-08-10,27.1
2010-08-11,26.5
2010-08-12,26.5
2011-08-10,25
2011-08-20,28.3
2015-07-17,26.8
2015-08-07,27.8
2015-08-09,26.3
2019-07-23,25.1
2020-07-30,26
2020-08-08,25.3
2022-07-12,26
2022-07-13,25
2022-07-25,28.1
2023-07-11,25.3
2023-07-18,25.2
