year,total
1950,243
1951,197
1952,232
1953,318
1954,275
1955,287
1956,217
1957,403
1958,301
1959,284
1960,325
1961,386
1962,573
1963,238
1964,462
1965,424
1966,440
1967,392
1968,405
1969,373
1970,382
1971,202
1972,114
1973,335
1974,367
1975,415
1976,298
1977,121
1978,408
1979,314
1980,466
1981,436
1982,315
1983,279
1984,263
1985,438
1986,402
1987,520
1988,497
1989,575
1990,574
1991,767
1992,502
1993,486
1994,716
1995,459
1996,336
1997,241
1998,604
1999,472
2000,549
2001,599
2002,386
2003,958
2004,582
2005,692
2006,733
2007,408
2008,480
2009,766
2010,714
2011,588
2012,786
2013,591
2014,398
2015,843
2016,911
2017,922
2018,599
